,name,mileage,price,owners,body,int,ext,vin,engine,tm,drive,fuel,height,length,width,gclear,wheelb,ftrackw,mpg,rtrackw
0,2016 Honda CR-V,"SE | 25,357 miles","$18,400",1,SUV,Tan,Mountain Air Metallic,2HKRM3H47GH527308,2.4L I4 185hp 181ft. lbs.,Automatic,FWD,Gasoline,"64.7""","179.4""","71.6""","6.3""","103.1""","62.1""",26 City / 33 Hwy,"62.2"""
1,2017 INFINITI QX60,"Base | 21,296 miles","$27,500",1,SUV,Black,Liquid Platinum,5N1DL0MN2HC557545,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
2,2018 Buick Encore,"Preferred | 16,428 miles","$16,600",1,SUV,Black,White,KL4CJASB6JB707473,Ecotec 1.4L Turbo I4 138hp 148ft. lbs.,Automatic,FWD,Gasoline,"65.3""","168.4""","69.9""","6.2""","100.6""","60.6""",27 City / 33 Hwy,"60.6"""
3,2018 Nissan Kicks,"SV | 14,324 miles","$16,700",1,SUV,Black,Gun Metallic,3N1CP5CUXJL513994,1.6L I4 125hp 115ft. lbs.,Automatic,FWD,Gasoline,"62.4""","169.1""","69.3""","7""","103.1""","59.8""",31 City / 36 Hwy,"60.4"""
4,2016 Ford Explorer,"XLT | 49,463 miles","$21,000",2,SUV,Black,White,1FM5K7DH9GGB29960,EcoBoost 2.3L Turbo I4 280hp 310ft. lbs.,Automatic,FWD,Gasoline,"70""","198.3""","90.2""","7.8""","112.8""","67""",19 City / 28 Hwy,"67"""
5,2020 Chevrolet Malibu,"LS Fleet | 11,944 miles","$18,900",1,Sedan,Gray,Silver Ice Metallic,1G1ZC5ST2LF010557,Ecotec 1.5L Turbo I4 160hp 184ft. lbs.,Automatic,FWD,Gasoline,"57.9""","194.2""","73""",Unavailable,"111.4""","62.6""",29 City / 36 Hwy,"62.5"""
6,2017 Lexus NX 200t,"Base | 21,265 miles","$28,280",1,Wagon,Black,White,JTJYARBZ7H2082080,2.0L Turbo I4 235hp 258ft. lbs.,Automatic,FWD,Gasoline,"64.8""","182.3""","83.9""","6.9""","104.7""","62.2""",22 City / 28 Hwy,"62.2"""
7,2020 Volkswagen Passat,"2.0T R-Line | 1,390 miles","$23,980",1,Sedan,Black,Red,1VWMA7A39LC014107,2.0L Turbo I4 174hp 206ft. lbs.,Automatic,FWD,Gasoline,"58""","193.6""","72.2""","5.4""","110.4""","62.1""",23 City / 34 Hwy,"61"""
8,2019 BMW 5 Series,"530i | 9,819 miles","$39,900",1,Sedan,Black,White,WBAJA5C58KWW08559,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",24 City / 34 Hwy,"64.2"""
10,2019 Dodge Grand Caravan,"SXT | 9,194 miles","$20,140",1,Van Minivan,Black,Octane Red Pearl Coat,2C4RDGCG7KR641751,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
11,2017 Kia Optima Hybrid,"EX | 15,898 miles","$18,000",1,Sedan,Black,Aurora Black,KNAGU4LC0H5007610,2.0L Hybrid I4 192hp 271ft. lbs.,Automatic,FWD,Gas/Electric Hybrid,"57.5""","191.1""","73.2""","5.1""","110""","63""",39 City / 46 Hwy,"64"""
